# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.18368E+00 -0.10101E+01 -0.10056E+01 -0.83979E+00 -0.83862E+00 -0.78467E+00 -0.78427E+00 -0.45923E+00 -0.44031E+00 -0.38022E+00 -0.35428E+00 -0.33638E+00 -0.33451E+00 -0.27153E+00 -0.24753E+00 -0.21490E+00 -0.20042E+00 -0.18463E+00 -0.17311E+00 -0.82129E-01 -0.80519E-01 -0.31096E-01 -0.30603E-01 -0.21455E-01 -0.42851E-02  0.61355E+00  0.62716E+00
  0.20205E+00 -0.10098E+01 -0.10058E+01 -0.83970E+00 -0.83866E+00 -0.78471E+00 -0.78430E+00 -0.45843E+00 -0.44175E+00 -0.37878E+00 -0.35527E+00 -0.33643E+00 -0.33454E+00 -0.27147E+00 -0.24613E+00 -0.21620E+00 -0.20082E+00 -0.18405E+00 -0.17373E+00 -0.82066E-01 -0.80391E-01 -0.30974E-01 -0.30757E-01 -0.20336E-01 -0.50411E-02  0.61636E+00  0.62884E+00
  0.22042E+00 -0.10096E+01 -0.10061E+01 -0.83960E+00 -0.83870E+00 -0.78475E+00 -0.78434E+00 -0.45761E+00 -0.44317E+00 -0.37718E+00 -0.35611E+00 -0.33648E+00 -0.33462E+00 -0.27141E+00 -0.24596E+00 -0.21662E+00 -0.20122E+00 -0.18348E+00 -0.17438E+00 -0.81926E-01 -0.80246E-01 -0.30841E-01 -0.30838E-01 -0.19210E-01 -0.58152E-02  0.61855E+00  0.62973E+00
  0.23879E+00 -0.10093E+01 -0.10063E+01 -0.83951E+00 -0.83873E+00 -0.78479E+00 -0.78440E+00 -0.45679E+00 -0.44454E+00 -0.37542E+00 -0.35681E+00 -0.33654E+00 -0.33474E+00 -0.27136E+00 -0.24706E+00 -0.21613E+00 -0.20161E+00 -0.18294E+00 -0.17504E+00 -0.81710E-01 -0.80090E-01 -0.30855E-01 -0.30692E-01 -0.18097E-01 -0.65944E-02  0.62016E+00  0.62966E+00
  0.25716E+00 -0.10091E+01 -0.10066E+01 -0.83941E+00 -0.83876E+00 -0.78483E+00 -0.78447E+00 -0.45600E+00 -0.44584E+00 -0.37352E+00 -0.35739E+00 -0.33659E+00 -0.33490E+00 -0.27130E+00 -0.24921E+00 -0.21492E+00 -0.20199E+00 -0.18242E+00 -0.17571E+00 -0.81428E-01 -0.79925E-01 -0.30802E-01 -0.30537E-01 -0.17016E-01 -0.73652E-02  0.62138E+00  0.62948E+00
  0.27553E+00 -0.10088E+01 -0.10068E+01 -0.83932E+00 -0.83879E+00 -0.78487E+00 -0.78455E+00 -0.45524E+00 -0.44706E+00 -0.37149E+00 -0.35786E+00 -0.33663E+00 -0.33510E+00 -0.27125E+00 -0.25208E+00 -0.21328E+00 -0.20236E+00 -0.18192E+00 -0.17637E+00 -0.81092E-01 -0.79756E-01 -0.30689E-01 -0.30377E-01 -0.15988E-01 -0.81132E-02  0.62239E+00  0.62922E+00
  0.29390E+00 -0.10086E+01 -0.10070E+01 -0.83923E+00 -0.83881E+00 -0.78490E+00 -0.78463E+00 -0.45454E+00 -0.44816E+00 -0.36939E+00 -0.35823E+00 -0.33668E+00 -0.33533E+00 -0.27120E+00 -0.25533E+00 -0.21149E+00 -0.20270E+00 -0.18146E+00 -0.17702E+00 -0.80720E-01 -0.79589E-01 -0.30530E-01 -0.30214E-01 -0.15030E-01 -0.88237E-02  0.62329E+00  0.62888E+00
  0.31226E+00 -0.10084E+01 -0.10072E+01 -0.83914E+00 -0.83883E+00 -0.78494E+00 -0.78472E+00 -0.45390E+00 -0.44915E+00 -0.36726E+00 -0.35851E+00 -0.33672E+00 -0.33559E+00 -0.27115E+00 -0.25869E+00 -0.20971E+00 -0.20301E+00 -0.18104E+00 -0.17764E+00 -0.80334E-01 -0.79429E-01 -0.30338E-01 -0.30055E-01 -0.14159E-01 -0.94817E-02  0.62412E+00  0.62850E+00
  0.33063E+00 -0.10082E+01 -0.10074E+01 -0.83907E+00 -0.83884E+00 -0.78497E+00 -0.78480E+00 -0.45334E+00 -0.45000E+00 -0.36519E+00 -0.35872E+00 -0.33676E+00 -0.33587E+00 -0.27111E+00 -0.26196E+00 -0.20807E+00 -0.20328E+00 -0.18068E+00 -0.17822E+00 -0.79956E-01 -0.79281E-01 -0.30133E-01 -0.29905E-01 -0.13393E-01 -0.10072E-01  0.62488E+00  0.62810E+00
  0.34900E+00 -0.10081E+01 -0.10075E+01 -0.83900E+00 -0.83886E+00 -0.78499E+00 -0.78488E+00 -0.45286E+00 -0.45071E+00 -0.36325E+00 -0.35887E+00 -0.33679E+00 -0.33615E+00 -0.27108E+00 -0.26494E+00 -0.20665E+00 -0.20351E+00 -0.18036E+00 -0.17874E+00 -0.79610E-01 -0.79152E-01 -0.29932E-01 -0.29769E-01 -0.12746E-01 -0.10581E-01  0.62556E+00  0.62772E+00
