# NKPT   120 NBND     8 NSPIN     1
# NPANEL     4
#      1   (0,0,0)/8
#     40   (4,0,4)/8
#     59   (4,2,6)/8
#     86   (4,4,4)/8
#    120   (0,0,0)/8
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     5
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/8"
@ XAXIS TICK     1,     0.61345
@ XAXIS TICKLABEL    1,"(4,0,4)/8"
@ XAXIS TICK     2,     0.92018
@ XAXIS TICKLABEL    2,"(4,2,6)/8"
@ XAXIS TICK     3,     1.35396
@ XAXIS TICKLABEL    3,"(4,4,4)/8"
@ XAXIS TICK     4,     1.88522
@ XAXIS TICKLABEL    4,"(0,0,0)/8"
@ WORLD      0.00000,        -0.7,     1.88522,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.67396E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.27966E+00  0.27966E+00  0.27966E+00  0.33829E+00
  0.15730E-01 -0.67381E+00 -0.99880E-03 -0.66484E-03 -0.66484E-03  0.27936E+00  0.28059E+00  0.28059E+00  0.33921E+00
  0.31459E-01 -0.67336E+00 -0.39497E-02 -0.26280E-02 -0.26280E-02  0.27847E+00  0.28336E+00  0.28336E+00  0.34192E+00
  0.47189E-01 -0.67260E+00 -0.87250E-02 -0.58010E-02 -0.58010E-02  0.27700E+00  0.28786E+00  0.28786E+00  0.34625E+00
  0.62918E-01 -0.67155E+00 -0.15138E-01 -0.10052E-01 -0.10052E-01  0.27499E+00  0.29394E+00  0.29394E+00  0.35198E+00
  0.78648E-01 -0.67019E+00 -0.22972E-01 -0.15222E-01 -0.15222E-01  0.27250E+00  0.30144E+00  0.30144E+00  0.35884E+00
  0.94377E-01 -0.66854E+00 -0.32006E-01 -0.21148E-01 -0.21148E-01  0.26957E+00  0.31016E+00  0.31016E+00  0.36654E+00
  0.11011E+00 -0.66658E+00 -0.42032E-01 -0.27666E-01 -0.27666E-01  0.26628E+00  0.31992E+00  0.31992E+00  0.37481E+00
  0.12584E+00 -0.66432E+00 -0.52868E-01 -0.34629E-01 -0.34629E-01  0.26268E+00  0.33052E+00  0.33052E+00  0.38340E+00
  0.14157E+00 -0.66177E+00 -0.64359E-01 -0.41907E-01 -0.41907E-01  0.25886E+00  0.34182E+00  0.34182E+00  0.39206E+00
  0.15730E+00 -0.65891E+00 -0.76378E-01 -0.49388E-01 -0.49388E-01  0.25488E+00  0.35367E+00  0.35367E+00  0.40058E+00
  0.17303E+00 -0.65576E+00 -0.88820E-01 -0.56978E-01 -0.56978E-01  0.25081E+00  0.36594E+00  0.36594E+00  0.40872E+00
  0.18875E+00 -0.65230E+00 -0.10160E+00 -0.64598E-01 -0.64598E-01  0.24673E+00  0.37851E+00  0.37851E+00  0.41623E+00
  0.20448E+00 -0.64856E+00 -0.11466E+00 -0.72184E-01 -0.72184E-01  0.24269E+00  0.39129E+00  0.39129E+00  0.42280E+00
  0.22021E+00 -0.64451E+00 -0.12793E+00 -0.79685E-01 -0.79685E-01  0.23874E+00  0.40421E+00  0.40421E+00  0.42806E+00
  0.23594E+00 -0.64018E+00 -0.14138E+00 -0.87057E-01 -0.87057E-01  0.23493E+00  0.41719E+00  0.41719E+00  0.43156E+00
  0.25167E+00 -0.63555E+00 -0.15495E+00 -0.94266E-01 -0.94266E-01  0.23131E+00  0.43019E+00  0.43019E+00  0.43274E+00
  0.26740E+00 -0.63063E+00 -0.16862E+00 -0.10128E+00 -0.10128E+00  0.22790E+00  0.43103E+00  0.44317E+00  0.44317E+00
  0.28313E+00 -0.62542E+00 -0.18236E+00 -0.10808E+00 -0.10808E+00  0.22473E+00  0.42590E+00  0.45611E+00  0.45611E+00
  0.29886E+00 -0.61992E+00 -0.19614E+00 -0.11465E+00 -0.11465E+00  0.22182E+00  0.41716E+00  0.46901E+00  0.46901E+00
