# NEPTS   102 NPROJ     3 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
  5.6444E-01  2.0911E+00  1.3604E+01  1.5696E+01
  5.7805E-01  2.1763E+00  1.6086E+01  1.8263E+01
  5.9166E-01  1.2372E+00  1.4703E+01  1.5940E+01
  6.0527E-01  1.4913E-01  9.2510E+00  9.4001E+00
  6.1888E-01 -9.1004E-02  3.5597E+00  3.4687E+00
  6.3249E-01  3.0827E-01  1.8546E+00  2.1629E+00
  6.4609E-01  1.3809E-01  2.0819E+00  2.2200E+00
  6.5970E-01 -2.3281E-01 -2.4904E+00 -2.7232E+00
  6.7331E-01  0.0000E+00  0.0000E+00  0.0000E+00
  6.8692E-01  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.15411
