# NEPTS   102 NPROJ     4 NSPIN     1
#
@ XAXIS LABEL "E-EFERMI (HARTREE)"
@ YAXIS LABEL "DENSITY OF STATES (STATES/HARTREE/CELL)"
  4.5333E-01  1.2423E+00  1.5877E+00  6.0207E-01  6.8642E+00
  4.6936E-01  1.1233E+00  1.4748E+00  5.5431E-01  6.3048E+00
  4.8538E-01  9.5419E-01  1.3695E+00  4.9934E-01  5.6460E+00
  5.0140E-01  7.6289E-01  1.2754E+00  4.4716E-01  4.9709E+00
  5.1743E-01  5.8256E-01  1.1939E+00  4.0944E-01  4.3717E+00
  5.3345E-01  4.4394E-01  1.1230E+00  3.9562E-01  3.9252E+00
  5.4948E-01  3.6639E-01  1.0587E+00  4.0805E-01  3.6663E+00
  5.6550E-01  3.4960E-01  9.9509E-01  4.3738E-01  3.5641E+00
  5.8152E-01  3.6906E-01  9.2658E-01  4.6050E-01  3.5123E+00
  5.9755E-01  3.7934E-01  8.4982E-01  4.4421E-01  3.3467E+00
  6.1357E-01  3.3100E-01  7.6596E-01  3.5985E-01  2.9136E+00
  6.2959E-01  2.0890E-01  6.8267E-01  2.1539E-01  2.2139E+00
  6.4562E-01  1.0187E-01  6.1491E-01  1.1427E-01  1.6621E+00
  6.6164E-01  1.7834E-01  5.5293E-01  1.3739E-01  1.7373E+00
  6.7766E-01  2.0650E-01  5.0216E-01  1.2957E-01  1.6764E+00
  6.9369E-01  1.7450E-01  4.7839E-01  1.3520E-01  1.5762E+00
  7.0971E-01  1.3186E-01  4.6743E-01  1.4502E-01  1.4886E+00
  7.2573E-01  8.7095E-02  4.6974E-01  1.5379E-01  1.4212E+00
  7.4176E-01  5.0685E-02  4.8150E-01  1.5498E-01  1.3743E+00
  7.5778E-01  3.1471E-02  4.9358E-01  1.4258E-01  1.3353E+00
  7.7380E-01  3.2385E-02  4.9178E-01  1.1359E-01  1.2755E+00
  7.8983E-01  4.6909E-02  4.5927E-01  7.0595E-02  1.1535E+00
  8.0585E-01  5.8520E-02  3.8270E-01  2.3684E-02  9.2981E-01
  8.2188E-01  4.6587E-02  2.6352E-01 -9.6702E-03  6.0087E-01
  8.3790E-01  3.6685E-03  1.3689E-01 -8.8020E-03  2.6351E-01
  8.5392E-01 -2.8849E-02  9.9930E-02  3.8443E-02  2.1905E-01
  8.6995E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.8597E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
# EFERMI (HARTREE)   -0.09831
