# NKPT   120 NBND     9 NSPIN     1
# NPANEL     5
#      1   (0,0,0)/6
#     32   (0,3,0)/6
#     49   (0,3,3)/6
#     67   (*,4,3)/6
#     84   (*,4,0)/6
#    120   (0,0,0)/6
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     6
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/6"
@ XAXIS TICK     1,     0.83827
@ XAXIS TICKLABEL    1,"(0,3,0)/6"
@ XAXIS TICK     2,     1.30135
@ XAXIS TICKLABEL    2,"(0,3,3)/6"
@ XAXIS TICK     3,     1.78533
@ XAXIS TICKLABEL    3,"(*,4,3)/6"
@ XAXIS TICK     4,     2.24841
@ XAXIS TICKLABEL    4,"(*,4,0)/6"
@ XAXIS TICK     5,     3.21636
@ XAXIS TICKLABEL    5,"(0,0,0)/6"
@ WORLD      0.00000,        -4.6,     3.21636,         1.0
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.00000E+00 -0.45546E+01 -0.45515E+01 -0.71172E+00 -0.30874E+00  0.17685E+00  0.86959E+00  0.86959E+00  0.91885E+00  0.91885E+00
  0.27041E-01 -0.45546E+01 -0.45515E+01 -0.71138E+00 -0.30808E+00  0.17670E+00  0.86495E+00  0.86554E+00  0.92209E+00  0.92310E+00
  0.54082E-01 -0.45546E+01 -0.45515E+01 -0.71037E+00 -0.30611E+00  0.17626E+00  0.85380E+00  0.85559E+00  0.92959E+00  0.93252E+00
  0.81123E-01 -0.45545E+01 -0.45515E+01 -0.70867E+00 -0.30281E+00  0.17551E+00  0.83915E+00  0.84264E+00  0.93834E+00  0.94266E+00
  0.10816E+00 -0.45545E+01 -0.45515E+01 -0.70625E+00 -0.29818E+00  0.17443E+00  0.82203E+00  0.82813E+00  0.94678E+00  0.95111E+00
  0.13521E+00 -0.45545E+01 -0.45516E+01 -0.70309E+00 -0.29219E+00  0.17300E+00  0.80271E+00  0.81268E+00  0.95421E+00  0.95676E+00
  0.16225E+00 -0.45544E+01 -0.45516E+01 -0.69917E+00 -0.28483E+00  0.17118E+00  0.78134E+00  0.79665E+00  0.95926E+00  0.96030E+00
  0.18929E+00 -0.45544E+01 -0.45516E+01 -0.69445E+00 -0.27607E+00  0.16895E+00  0.75814E+00  0.78027E+00  0.95873E+00  0.96490E+00
  0.21633E+00 -0.45543E+01 -0.45516E+01 -0.68891E+00 -0.26589E+00  0.16626E+00  0.73332E+00  0.76379E+00  0.95549E+00  0.96800E+00
  0.24337E+00 -0.45543E+01 -0.45516E+01 -0.68253E+00 -0.25425E+00  0.16310E+00  0.70714E+00  0.74741E+00  0.94997E+00  0.96965E+00
  0.27041E+00 -0.45542E+01 -0.45516E+01 -0.67528E+00 -0.24113E+00  0.15939E+00  0.67983E+00  0.73134E+00  0.94260E+00  0.96757E+00
  0.29745E+00 -0.45541E+01 -0.45516E+01 -0.66714E+00 -0.22650E+00  0.15505E+00  0.65169E+00  0.71579E+00  0.93381E+00  0.95843E+00
